  28   29   30   31   32   33   34   35   36   37   38   37   36   35   34   33   32   31   30   29
  27   28   29   ##     33   34   35   ##     37   38   39   ##     37   36   35   ##     31   30   29   28
  26   27   28   ##     34   35   36   37   38   39   40   ##     38   37   36   ##     30   29   28   27
  25   26   27   ##     35   36   37   38   39   40   41   ##     39   38   37   ##     29   28   27   26
  24   ##     ##     ##     ##     ##     ##     ##     ##     41   42   ##     ##     ##     ##     ##     ##     ##     ##     25
  23   24   ##     ##     27   28   29   ##     43   42   43   ##     49   50   51   ##     27   26   25   24
  22   23   24   25   26   27   28   ##     44   43   44   ##     48   49   50   ##     26   25   24   23
  21   22   23   24   25   26   27   ##     45   44   45   46   47   48   49   ##     25   24   23   22
  20   21   22   ##     26   27   28   ##     46   45   46   47   48   49   50   ##     24   23   22   21
  19   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     48   49   50   ##     ##     ##     ##     ##     20
  18   19   20   ##     ##     ##     12   ##     ##     ##     ##     ##     50   51   52   ##     22   21   20   19
  17   18   19   ##     ##     ##     11   ##     ##     ##     ##     ##     51   52   53   ##     21   20   19   18
  16   17   18   ##     12   11   10   ##     ##     ##     ##     ##     52   53   54   ##     20   19   18   17
  15   16   17   ##     11   10    9   ##     ##     ##     ##     ##     53   54   55   ##     19   18   17   16
  14   ##     ##     ##     ##      9    8   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     15
  13   12   11   ##      9    8    7   ##      5    4    5   ##      7    8    9   10   11   12   13   14
  12   11   10   ##      8    7    6   ##      4    3    4   ##      6    7    8    9   10   11   12   13
  11   10    9   ##      7    6    5   ##      3    2    3   ##      5    6    7   ##      9   10   11   12
  10    9    8   ##      6    5    4   ##      2    1    2   ##      4    5    6   ##      8    9   10   11
   9    8    7    6    5    4    3    2    1    0    1    2    3    4    5    6    7    8    9   10
