  30.50   30.37   29.19   27.47   27.34   27.60   27.03   25.56   24.96   24.74   25.30   24.90   25.65   26.25   27.68   27.46   28.19   29.61   31.30   30.61
  29.61   28.76   28.22   ##     26.84   27.31   25.74   ##     23.71   24.11   23.98   ##     24.88   26.12   26.65   ##     27.85   29.05   29.97   31.55
  27.66   27.76   27.19   ##     26.99   26.44   25.00   23.49   22.53   22.51   22.96   ##     24.44   25.72   26.28   ##     28.10   28.59   28.98   29.47
  26.81   26.66   26.03   ##     25.23   24.77   23.47   22.31   21.31   21.23   21.80   ##     23.33   24.58   25.39   ##     26.79   27.64   27.98   28.38
  25.84   ##     ##     ##     ##     ##     ##     ##     ##     20.17   20.88   ##     ##     ##     ##     ##     ##     ##     ##     26.72
  25.26   25.38   ##     ##     23.26   22.78   21.57   ##     19.45   18.87   19.35   ##     20.56   21.95   23.21   ##     24.65   24.97   25.09   26.09
  22.53   22.58   21.71   21.06   20.54   20.81   20.55   ##     19.40   18.61   18.17   ##     18.47   19.85   20.62   ##     22.96   23.96   23.77   24.98
  21.31   21.31   20.33   20.28   19.77   20.35   19.76   ##     18.42   17.86   16.98   16.49   16.62   17.46   19.08   ##     21.48   22.52   22.77   23.48
  19.73   20.45   21.05   ##     20.91   21.47   20.80   ##     17.72   16.90   16.07   15.36   15.61   16.63   19.00   ##     20.00   21.23   21.63   22.56
  19.32   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     14.51   14.55   15.79   ##     ##     ##     ##     ##     21.37
  18.18   19.50   21.30   ##     ##     ##     19.27   ##     ##     ##     ##     ##     13.97   15.33   17.13   ##     18.86   20.17   19.65   19.79
  17.28   17.75   19.43   ##     ##     ##     17.55   ##     ##     ##     ##     ##     13.55   14.75   15.77   ##     18.07   19.06   18.84   19.17
  16.70   16.57   17.18   ##     16.24   14.93   13.75   ##     ##     ##     ##     ##     13.19   14.14   14.95   ##     16.64   18.12   17.92   18.13
  16.22   16.26   16.01   ##     13.15   13.15   11.48   ##     ##     ##     ##     ##     12.51   14.27   14.34   ##     15.46   16.51   17.09   17.70
  15.50   ##     ##     ##     ##     11.37    9.95   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     16.67
  14.81   14.40   13.80   ##     10.70   10.36    8.37   ##      7.90    8.47    8.97   ##     10.51   11.38   11.62   12.57   12.65   14.53   15.01   15.84
  13.55   12.98   12.38   ##      9.73    9.16    7.47   ##      4.64    4.92    5.44   ##      8.37    9.30    9.51   10.41   10.95   12.41   13.96   15.23
  13.91   12.82   11.77   ##      9.36    8.09    5.83   ##      3.24    2.24    3.11   ##      6.57    8.40    9.02   ##     10.60   12.34   13.90   15.17
  14.84   13.10   11.72   ##      8.97    7.48    5.12   ##      1.46    1.00    1.90   ##      5.33    7.57    8.98   ##     10.51   12.25   13.67   15.40
  14.43   14.12   12.36   10.51    9.46    7.95    4.82    3.22    1.00    0.25    1.39    2.85    4.94    7.33    8.89   10.08   11.31   12.94   14.11   14.37
