  25.43   24.64   23.89   23.15   22.41   21.67   21.04   20.63   20.38   20.13   20.38   20.63   21.04   21.67   22.41   23.15   23.89   24.64   25.43   26.29
  24.35   23.53   22.77   ##     21.28   20.54   19.88   ##     19.19   18.95   19.19   ##     19.88   20.54   21.28   22.02   22.77   23.53   24.35   25.26
  23.32   22.44   21.66   ##     20.16   19.42   18.72   ##     18.01   17.76   18.01   ##     18.72   19.42   20.16   20.90   21.66   22.44   23.32   24.22
  22.29   21.39   20.54   ##     19.04   18.30   17.57   ##     16.82   16.57   16.82   ##     17.57   18.30   19.04   ##     20.54   21.39   22.29   23.19
  21.26   ##     ##     ##     ##     ##     16.43   ##     15.63   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     22.21
  20.25   19.32   18.42   ##     16.80   16.05   15.31   ##     14.45   14.20   14.45   ##     ##     ##     ##     ##     18.42   19.32   20.25   21.27
  19.31   18.30   17.39   16.49   15.68   14.92   14.19   ##     13.26   13.01   13.26   ##     ##     ##     ##     ##     17.39   18.30   19.31   20.33
  18.37   17.35   16.36   15.46   14.58   13.81   13.06   ##     12.07   11.83   12.07   ##     ##     ##     ##     ##     16.36   17.35   18.37   19.39
  17.43   16.41   15.39   14.42   13.52   12.69   11.94   11.25   10.88   10.60   10.88   ##     ##     ##     ##     ##     15.39   16.41   17.43   18.45
  16.49   ##     ##     ##     ##     ##     ##     10.10    9.65    9.37   ##     ##     ##     ##     ##     ##     ##     ##     ##     17.53
  15.56   14.53   13.51   ##     11.48   10.56    9.69    8.91    8.43    8.14    8.43   ##      9.69   10.56   11.48   ##     13.51   14.53   15.56   16.57
  14.61   13.59   12.57   ##     10.53    9.51    8.56   ##      7.21    6.82    7.21   ##      8.56    9.51   10.53   ##     12.57   13.59   14.61   15.63
  13.70   12.65   11.63   ##      9.56    8.50    7.49   ##      5.98    5.46    5.98    6.56    7.49    8.50    9.56   ##     11.63   12.65   13.70   14.77
  12.98   11.81   10.71   ##      8.58    7.50    6.43   ##      4.75    4.08    4.75    5.44    6.43    7.50    8.58   ##     10.71   11.81   12.98   14.16
  12.47   ##     ##     ##     ##     ##     ##     ##     ##     ##     ##     ##      5.44    6.51    7.61   ##     ##     ##     ##     13.66
  12.10   10.84    9.57   ##      7.05    5.78    4.55   ##      2.20    0.97    2.20   ##      4.55    5.78    7.05   ##      9.57   10.84   12.10   13.35
  11.94   10.66    9.38   ##      6.81    5.54    4.21   ##      1.02    0.00    1.02   ##      4.21    5.54    6.81   ##      9.38   10.66   11.94   13.22
  12.10   10.84    9.57   ##      7.05    5.78    4.55   ##      2.20    0.97    2.20   ##      4.55    5.78    7.05   ##      9.57   10.84   12.10   13.35
  12.47   11.27   10.04   ##      7.61    6.51    5.44   ##      3.52    2.60    3.52   ##      5.44    6.51    7.61   ##     10.04   11.27   12.47   13.66
  12.98   11.81   10.71    9.64    8.58    7.50    6.43    5.44    4.75    4.08    4.75    5.44    6.43    7.50    8.58    9.64   10.71   11.81   12.98   14.16
